Book_Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pg620,-0.051902,-0.024404,-0.047391,0.038072,0.064254,-0.018607,0.04767,0.063497,-0.007985,-0.03108,0.000029,-0.003238,0.016326,0.012214,-0.027629,0.023176,0.023611,-0.052065,-0.016983,-0.007565
pg681,-0.024712,0.056122,-0.021959,-0.013042,-0.029435,-0.047546,0.090885,-0.010134,-0.015114,-0.003456,0.00481,-0.025121,0.008906,-0.030768,-0.00621,0.022278,0.019553,0.053669,-0.026725,-0.002002
pg726,-0.060619,0.008565,-0.024224,-0.054648,-0.043226,0.062696,0.075581,0.006272,0.037133,0.010306,-0.004923,-0.04182,-0.021396,-0.012102,-0.009256,0.003075,0.032718,0.020056,0.018211,-0.002401
pg730,-0.04127,-0.036222,-0.015764,0.056565,-0.05044,-0.038958,0.105256,-0.025051,0.002285,0.004428,-0.0066,-0.009519,0.000291,-0.015297,0.002284,0.06112,-0.008255,0.008567,0.012213,-0.005633
pg766,0.07555,-0.023683,0.010142,0.0408,0.014139,-0.005924,-0.052068,-0.042275,0.011595,0.022758,-0.059082,-0.020638,-0.01979,0.065274,-0.017076,0.005325,0.016741,0.005183,0.019848,-0.04682
pg786,-0.03918,-0.007815,-0.006515,0.049831,0.067325,-0.011584,0.055843,-0.008971,-0.04717,-0.032711,-0.017493,-0.0235,-0.027219,0.070655,0.010783,-0.016197,-0.019489,-0.044566,0.023115,0.024857
pg834,-0.02943,-0.028028,-0.03534,0.067922,0.077093,0.039207,0.033375,-0.01565,-0.015376,-0.055494,-0.040906,0.025535,-0.032801,0.001419,-0.007088,-0.007906,0.027797,-0.025515,0.022677,-0.001489
pg863,0.074564,0.006412,0.004556,0.010468,-0.059098,-0.03808,-0.039443,-0.030239,-0.014625,-0.031865,0.028629,0.013314,0.00714,-0.02041,0.033582,-0.000252,-0.050703,0.091646,0.015398,-0.000993
pg98,0.034148,-0.017954,0.067815,0.026204,-0.033053,-0.053578,-0.040301,0.065392,-0.053041,0.023616,-0.023028,0.014434,0.043739,-0.018484,0.043483,0.007782,-0.034659,-0.051214,-0.005104,0.003803
pg6526,0.003747,0.0141,0.027552,-0.010946,0.000232,0.005374,0.000653,0.003862,0.003692,0.00857,-0.008156,-0.004164,-0.00879,-0.004515,-0.008845,-0.006025,-0.011973,-0.007086,0.001889,0.000831
pg7119,0.001296,-0.003747,0.005866,0.008483,-0.004487,0.002552,0.003018,0.011875,0.020578,-0.007386,-0.002934,0.002273,-0.005306,-0.003773,-0.008353,-0.0053,-0.004233,-0.001666,-0.005444,-0.003312
pg6592,-0.00359,-0.002723,-0.004242,-0.003327,0.009911,-0.002531,0.002615,0.004153,0.000561,-0.002813,-0.001617,-0.00006,-0.003892,0.001271,-0.00023,-0.002453,0.002159,0.002716,-0.001675,0.005768
pg9111,-0.000632,-0.001772,-0.006921,0.006645,-0.004937,-0.008435,-0.002158,-0.009293,-0.001833,-0.005522,-0.000538,-0.005752,0.020955,0.002009,0.003571,0.001466,-0.003709,0.011945,-0.003798,0.008709
pg7085,-0.004428,0.002337,0.003532,0.012506,-0.00294,0.005395,-0.002216,-0.001127,-0.007946,0.004009,0.011884,-0.005654,0.013442,0.002741,-0.008463,-0.008793,0.002288,-0.012298,-0.005153,0.000883
pg9809,-0.012523,-0.001638,0.004051,0.002135,-0.01419,-0.002697,-0.012667,0.003678,0.0093,-0.003395,0.014674,-0.017663,0.001322,-0.004677,-0.0061,-0.002661,0.005177,0.006067,0.010957,0.020851
pg7842,0.001687,0.0005,0.006643,0.001245,-0.002613,0.007415,-0.008673,0.014343,-0.010349,-0.002497,-0.007271,-0.013371,-0.001431,-0.010824,0.001102,0.008836,0.020916,-0.000654,-0.000011,-0.004993
pg7759,-0.005927,0.002913,-0.00907,0.018253,-0.007595,-0.005983,-0.004305,-0.013696,-0.002342,-0.00312,0.005516,0.003655,0.001153,-0.00137,0.003622,-0.003192,0.022651,0.002789,-0.003702,-0.00025
pg7761,-0.003224,0.004778,-0.008663,-0.007204,-0.012441,0.000407,-0.012317,0.01721,-0.011756,-0.0163,0.020019,-0.00448,0.00157,0.002314,0.019332,-0.002166,0.007422,0.014401,0.000059,-0.00896
